Index,Raman_Shift,Intensity,Plastic_type
268,861.629,57.7873,Green_Yarn
269,864.294,55.8682,Green_Yarn
270,866.958,50.769,Green_Yarn
271,869.621,43.4203,Green_Yarn
272,872.283,37.9678,Green_Yarn
273,874.943,38.1197,Green_Yarn
274,877.602,44.0222,Green_Yarn
275,880.26,52.1011,Green_Yarn
276,882.917,57.6294,Green_Yarn
277,885.573,57.8517,Green_Yarn
278,888.227,53.4571,Green_Yarn
279,890.879,47.576,Green_Yarn
280,893.531,43.191,Green_Yarn
281,896.182,40.9318,Green_Yarn
282,898.831,39.0115,Green_Yarn
283,901.479,35.446,Green_Yarn
284,904.126,30.6649,Green_Yarn
285,906.771,27.9678,Green_Yarn
286,909.415,30.9897,Green_Yarn
287,912.058,40.1704,Green_Yarn
288,914.7,51.4852,Green_Yarn
289,917.341,58.8741,Green_Yarn
290,919.98,58.4738,Green_Yarn
291,922.618,51.1401,Green_Yarn
292,925.255,41.416,Green_Yarn
293,927.89,34.2694,Green_Yarn
294,930.524,32.4191,Green_Yarn
295,933.157,35.7572,Green_Yarn
296,935.789,42.1852,Green_Yarn
297,938.419,48.5486,Green_Yarn
298,941.049,51.4577,Green_Yarn
299,943.677,48.6002,Green_Yarn
300,946.304,40.3553,Green_Yarn
301,948.93,30.2231,Green_Yarn
302,951.554,22.9063,Green_Yarn
303,954.178,21.0212,Green_Yarn
304,956.8,23.1208,Green_Yarn
305,959.421,24.8582,Green_Yarn
306,962.04,22.3699,Green_Yarn
307,964.659,15.0823,Green_Yarn
308,967.275,5.91207,Green_Yarn
309,969.891,-0.8497,Green_Yarn
310,972.506,-2.20056,Green_Yarn
311,975.119,1.84741,Green_Yarn
312,977.731,8.23096,Green_Yarn
313,980.342,12.3585,Green_Yarn
314,982.952,11.1177,Green_Yarn
315,985.56,6.60927,Green_Yarn
316,988.168,5.12764,Green_Yarn
317,990.774,13.1009,Green_Yarn
318,993.378,30.9563,Green_Yarn
319,995.982,50.8589,Green_Yarn
320,998.584,61.7114,Green_Yarn
321,1001.19,58.129,Green_Yarn
322,1003.79,45.3043,Green_Yarn
323,1006.38,34.5617,Green_Yarn
324,1008.98,33.2251,Green_Yarn
325,1011.58,38.4967,Green_Yarn
326,1014.17,41.4911,Green_Yarn
327,1016.77,37.3457,Green_Yarn
328,1019.36,30.8827,Green_Yarn
329,1021.95,31.759,Green_Yarn
330,1024.54,44.0647,Green_Yarn
331,1027.13,61.348,Green_Yarn
332,1029.72,72.4761,Green_Yarn
333,1032.3,72.3506,Green_Yarn
334,1034.89,66.3655,Green_Yarn
335,1037.47,64.1051,Green_Yarn
336,1040.06,69.072,Green_Yarn
337,1042.64,75.2803,Green_Yarn
338,1045.22,74.1792,Green_Yarn
339,1047.8,64.5344,Green_Yarn
340,1050.38,54.9036,Green_Yarn
341,1052.95,56.051,Green_Yarn
342,1055.53,70.8328,Green_Yarn
343,1058.1,91.4293,Green_Yarn
344,1060.68,106.391,Green_Yarn
345,1063.25,110.595,Green_Yarn
346,1065.82,108.974,Green_Yarn
347,1068.39,111.254,Green_Yarn
348,1070.96,123.201,Green_Yarn
349,1073.53,142.341,Green_Yarn
350,1076.09,161.222,Green_Yarn
351,1078.66,174.246,Green_Yarn
352,1081.22,181.459,Green_Yarn
353,1083.78,186.226,Green_Yarn
354,1086.35,189.834,Green_Yarn
355,1088.91,188.96,Green_Yarn
356,1091.46,179.022,Green_Yarn
357,1094.02,160.396,Green_Yarn
358,1096.58,140.986,Green_Yarn
